type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-01-06 10:36:19,43.57608472,3.95701518,4,57.337,,1.000,359,27,36,20210106-113619,GPS Logger: 20210106-113619
T,2021-01-06 10:36:20,43.57609847,3.95701370,4,57.055,,0.790,359,27,36,,
T,2021-01-06 10:36:21,43.57610163,3.95700420,4,56.470,,0.000,,27,36,,
T,2021-01-06 10:36:22,43.57610247,3.95699865,4,55.530,,0.000,,27,36,,
T,2021-01-06 10:36:23,43.57609816,3.95700094,4,55.638,,0.000,,29,36,,
T,2021-01-06 10:36:24,43.57609978,3.95700744,4,55.919,,0.430,359,29,36,,
T,2021-01-06 10:36:25,43.57610173,3.95699826,4,55.312,,0.000,,29,36,,
T,2021-01-06 10:36:26,43.57609643,3.95699826,4,55.358,,0.160,359,29,36,,
T,2021-01-06 10:36:27,43.57609147,3.95699751,4,55.076,,0.000,,29,36,,
T,2021-01-06 10:36:28,43.57609215,3.95699748,4,55.079,,0.000,,29,36,,
T,2021-01-06 10:36:29,43.57608923,3.95699515,4,55.377,,0.000,,28,36,,
T,2021-01-06 10:36:30,43.57608322,3.95700217,4,55.446,,0.880,359,28,36,,
T,2021-01-06 10:36:31,43.57608401,3.95700106,4,55.336,,0.000,,28,36,,
T,2021-01-06 10:36:32,43.57607534,3.95699977,4,55.699,,0.640,205,29,36,,
T,2021-01-06 10:36:33,43.57606374,3.95700785,4,55.234,,1.450,205,29,36,,
T,2021-01-06 10:36:34,43.57605021,3.95701092,4,55.615,,1.660,172,28,36,,
T,2021-01-06 10:36:35,43.57603568,3.95700980,4,55.263,,1.790,197,24,30,,
T,2021-01-06 10:36:36,43.57601865,3.95700797,4,55.920,,2.130,188,22,27,,
T,2021-01-06 10:36:37,43.57600480,3.95700560,4,56.148,,1.390,189,22,29,,
T,2021-01-06 10:36:38,43.57599525,3.95700450,4,55.820,,1.290,189,24,29,,
T,2021-01-06 10:36:39,43.57598526,3.95700538,4,56.172,,1.440,189,23,27,,
T,2021-01-06 10:36:40,43.57597532,3.95700847,4,56.135,,1.360,189,24,29,,
T,2021-01-06 10:36:41,43.57596347,3.95701019,4,56.642,,1.510,187,23,29,,
T,2021-01-06 10:36:42,43.57595110,3.95701213,4,56.233,,1.660,174,15,29,,
T,2021-01-06 10:36:43,43.57593695,3.95701650,4,56.120,,1.990,168,15,28,,
T,2021-01-06 10:36:44,43.57592332,3.95702252,4,56.202,,1.650,168,17,30,,
T,2021-01-06 10:36:45,43.57591179,3.95702775,4,56.273,,1.530,172,17,30,,
T,2021-01-06 10:36:46,43.57589774,3.95703230,4,55.495,,2.050,174,15,26,,
T,2021-01-06 10:36:47,43.57588448,3.95703485,4,54.893,,1.580,174,15,27,,
T,2021-01-06 10:36:48,43.57587042,3.95703682,4,56.296,,2.020,163,14,30,,
T,2021-01-06 10:36:49,43.57585470,3.95703953,4,56.422,,1.940,178,16,24,,
T,2021-01-06 10:36:50,43.57583954,3.95704208,4,55.313,,1.390,184,16,30,,
T,2021-01-06 10:36:51,43.57582468,3.95704526,4,54.619,,1.730,165,17,22,,
T,2021-01-06 10:36:52,43.57581186,3.95704814,4,54.454,,0.880,165,24,28,,
T,2021-01-06 10:36:53,43.57580444,3.95705591,4,54.354,,0.000,,21,25,,
T,2021-01-06 10:36:54,43.57580302,3.95706005,4,54.555,,0.000,,21,24,,
T,2021-01-06 10:36:55,43.57580240,3.95706361,4,54.637,,0.000,,20,23,,
T,2021-01-06 10:36:56,43.57580231,3.95706566,4,54.467,,0.000,,23,25,,
T,2021-01-06 10:36:57,43.57580067,3.95707141,4,54.496,,0.000,,16,22,,
T,2021-01-06 10:36:58,43.57580007,3.95707475,4,54.568,,0.000,,17,22,,
T,2021-01-06 10:36:59,43.57579981,3.95707695,4,54.866,,0.000,,22,26,,
T,2021-01-06 10:37:00,43.57579908,3.95707895,4,55.399,,0.000,,20,24,,
T,2021-01-06 10:37:01,43.57579895,3.95708193,4,55.242,,0.000,,19,23,,
T,2021-01-06 10:37:02,43.57580096,3.95708351,4,55.123,,0.000,,21,25,,
T,2021-01-06 10:37:03,43.57580200,3.95708472,4,54.799,,0.000,,21,28,,
T,2021-01-06 10:37:04,43.57580312,3.95708431,5,54.576,,0.000,,20,27,,
T,2021-01-06 10:37:05,43.57580361,3.95708412,5,54.602,,0.000,,20,25,,
