type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2020-10-17 09:42:48,43.57591064,3.95718832,3,62.240,,0.000,,19,24,20201017-114248,GPS Logger: 20201017-114248
T,2020-10-17 09:42:49,43.57590922,3.95718910,3,60.891,,0.000,,19,24,,
T,2020-10-17 09:42:50,43.57591253,3.95719202,3,61.333,,0.000,,19,24,,
T,2020-10-17 09:42:51,43.57591862,3.95718939,3,60.912,,0.000,,19,24,,
T,2020-10-17 09:42:52,43.57591992,3.95718416,3,60.734,,0.000,,19,24,,
T,2020-10-17 09:42:53,43.57592127,3.95718159,3,60.310,,0.000,,19,24,,
T,2020-10-17 09:42:54,43.57592217,3.95717983,3,61.554,,0.000,,19,24,,
T,2020-10-17 09:42:55,43.57592508,3.95718010,3,61.246,,0.000,,19,24,,
T,2020-10-17 09:42:56,43.57592449,3.95718214,3,61.931,,0.000,,19,24,,
T,2020-10-17 09:42:57,43.57593088,3.95718489,3,61.515,,0.350,321,19,24,,
T,2020-10-17 09:42:58,43.57593205,3.95719744,3,60.598,,0.000,,19,24,,
T,2020-10-17 09:42:59,43.57593128,3.95720040,3,60.006,,0.000,,19,24,,
T,2020-10-17 09:43:00,43.57592870,3.95719772,3,59.527,,0.000,,19,24,,
T,2020-10-17 09:43:01,43.57592699,3.95719768,3,59.400,,0.000,,19,24,,
T,2020-10-17 09:43:02,43.57592323,3.95719326,3,59.077,,0.000,,19,24,,
T,2020-10-17 09:43:03,43.57592028,3.95718957,3,58.663,,0.000,,19,24,,
T,2020-10-17 09:43:04,43.57592152,3.95719263,3,58.834,,0.000,,19,24,,
T,2020-10-17 09:43:05,43.57592094,3.95719605,3,58.857,,0.000,,19,24,,
T,2020-10-17 09:43:06,43.57592096,3.95719880,3,58.573,,0.000,,19,24,,
T,2020-10-17 09:43:07,43.57592207,3.95720130,3,58.327,,0.000,,19,24,,
T,2020-10-17 09:43:08,43.57592194,3.95720341,3,58.086,,0.000,,19,24,,
T,2020-10-17 09:43:09,43.57592252,3.95720509,3,58.090,,0.000,,19,24,,
T,2020-10-17 09:43:10,43.57592218,3.95720570,3,58.049,,0.000,,19,24,,
T,2020-10-17 09:43:11,43.57592218,3.95720568,3,58.025,,0.000,,19,24,,
T,2020-10-17 09:43:12,43.57592259,3.95720708,3,57.316,,0.000,,19,24,,
T,2020-10-17 09:43:13,43.57592344,3.95720674,3,56.897,,0.000,,19,24,,
T,2020-10-17 09:43:14,43.57591622,3.95720019,3,55.861,,0.000,,19,24,,
T,2020-10-17 09:43:15,43.57591669,3.95720423,3,55.493,,0.000,,19,24,,
T,2020-10-17 09:43:16,43.57591549,3.95720436,3,55.720,,0.000,,19,24,,
T,2020-10-17 09:43:17,43.57591313,3.95720281,3,55.701,,0.000,,19,24,,
T,2020-10-17 09:43:18,43.57591423,3.95719898,3,55.459,,0.000,,19,24,,
T,2020-10-17 09:43:19,43.57591215,3.95719851,3,55.988,,0.000,,19,24,,
T,2020-10-17 09:43:20,43.57591178,3.95719999,3,55.718,,0.000,,19,24,,
T,2020-10-17 09:43:21,43.57590496,3.95718406,3,55.697,,0.910,245,19,23,,
T,2020-10-17 09:43:22,43.57589982,3.95718582,3,55.760,,0.540,185,19,23,,
T,2020-10-17 09:43:23,43.57589455,3.95718768,3,56.104,,0.440,184,19,23,,
T,2020-10-17 09:43:24,43.57589240,3.95718805,3,56.745,,0.180,185,19,23,,
T,2020-10-17 09:43:25,43.57589040,3.95718658,3,57.602,,0.000,,19,23,,
T,2020-10-17 09:43:26,43.57588680,3.95718228,3,56.813,,0.000,,19,23,,
T,2020-10-17 09:43:27,43.57588208,3.95717834,3,56.566,,0.000,,19,23,,
T,2020-10-17 09:43:28,43.57587986,3.95717472,3,56.268,,0.230,238,19,23,,
T,2020-10-17 09:43:29,43.57587696,3.95716555,3,56.156,,0.000,,19,23,,
T,2020-10-17 09:43:30,43.57587769,3.95716163,3,56.567,,0.000,,19,23,,
T,2020-10-17 09:43:31,43.57587919,3.95716405,3,56.540,,0.000,,19,23,,
T,2020-10-17 09:43:32,43.57587991,3.95716394,3,56.265,,0.000,,19,23,,
T,2020-10-17 09:43:33,43.57588135,3.95716495,3,56.518,,0.000,,19,23,,
T,2020-10-17 09:43:34,43.57588225,3.95716682,3,56.661,,0.000,,19,23,,
T,2020-10-17 09:43:35,43.57588224,3.95717106,3,56.594,,0.000,,19,23,,
T,2020-10-17 09:43:36,43.57588382,3.95717428,3,56.708,,0.000,,19,23,,
T,2020-10-17 09:43:37,43.57588379,3.95717658,3,56.615,,0.000,,19,23,,
T,2020-10-17 09:43:38,43.57588288,3.95717706,3,56.696,,0.000,,19,23,,
