type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2019-12-18 17:13:14,53.62962774,10.00046412,3,59.027,,0.000,,17,32,20191218-181314,GPS Logger: 20191218-181314
T,2019-12-18 17:13:15,53.62960255,10.00045082,3,55.861,,3.470,249,17,32,,
T,2019-12-18 17:13:16,53.62960461,10.00050442,4,55.258,,0.740,288,14,22,,
T,2019-12-18 17:13:17,53.62961530,10.00051720,4,54.462,,0.290,335,17,31,,
T,2019-12-18 17:13:18,53.62961051,10.00054590,4,51.865,,0.000,,17,31,,
T,2019-12-18 17:13:19,53.62960813,10.00053392,4,52.299,,0.000,,17,31,,
T,2019-12-18 17:13:20,53.62960294,10.00052885,4,52.868,,0.540,153,17,31,,
T,2019-12-18 17:13:21,53.62958379,10.00055745,3,52.011,,0.000,,17,32,,
T,2019-12-18 17:13:22,53.62957007,10.00054340,3,51.814,,0.000,,19,32,,
T,2019-12-18 17:13:23,53.62956574,10.00052761,3,51.777,,0.000,,20,32,,
T,2019-12-18 17:13:24,53.62956264,10.00053205,3,51.204,,0.000,,22,32,,
T,2019-12-18 17:13:25,53.62956102,10.00053143,3,51.273,,0.000,,22,32,,
T,2019-12-18 17:13:26,53.62955823,10.00053395,3,51.695,,0.000,,22,32,,
T,2019-12-18 17:13:27,53.62955950,10.00053095,3,52.488,,0.000,,22,32,,
T,2019-12-18 17:13:28,53.62955773,10.00052962,3,52.247,,0.000,,22,32,,
T,2019-12-18 17:13:29,53.62955388,10.00054077,3,51.277,,0.000,,22,32,,
T,2019-12-18 17:13:30,53.62955349,10.00054021,3,51.415,,0.000,,21,32,,
T,2019-12-18 17:13:31,53.62955506,10.00053480,3,52.424,,0.000,,21,32,,
T,2019-12-18 17:13:32,53.62954749,10.00051707,3,52.075,,0.500,215,21,32,,
T,2019-12-18 17:13:33,53.62955065,10.00052825,3,50.762,,0.000,,21,32,,
T,2019-12-18 17:13:34,53.62954081,10.00050479,3,51.446,,1.580,224,21,32,,
T,2019-12-18 17:13:35,53.62953384,10.00049742,3,51.539,,0.840,215,21,32,,
T,2019-12-18 17:13:36,53.62952501,10.00049095,3,51.499,,1.360,205,21,32,,
T,2019-12-18 17:13:37,53.62951294,10.00047708,3,51.501,,1.710,217,21,32,,
T,2019-12-18 17:13:38,53.62950027,10.00046014,3,51.536,,1.730,217,20,32,,
T,2019-12-18 17:13:39,53.62948603,10.00044171,3,52.170,,2.070,222,20,32,,
T,2019-12-18 17:13:40,53.62947031,10.00041874,3,51.925,,2.470,221,20,32,,
T,2019-12-18 17:13:41,53.62945469,10.00039299,3,52.674,,2.300,225,20,32,,
T,2019-12-18 17:13:42,53.62943938,10.00036676,3,53.093,,2.440,226,20,32,,
T,2019-12-18 17:13:43,53.62942274,10.00033696,3,53.648,,2.750,228,20,32,,
T,2019-12-18 17:13:44,53.62940622,10.00030428,3,53.792,,2.810,230,20,32,,
T,2019-12-18 17:13:45,53.62939038,10.00026856,3,54.404,,2.940,232,21,32,,
T,2019-12-18 17:13:46,53.62937483,10.00023207,3,53.639,,2.810,236,21,32,,
T,2019-12-18 17:13:47,53.62936161,10.00020113,3,53.799,,2.290,235,20,32,,
T,2019-12-18 17:13:48,53.62935051,10.00017608,3,54.215,,2.020,235,20,32,,
T,2019-12-18 17:13:49,53.62933929,10.00015282,3,53.222,,2.010,235,21,32,,
T,2019-12-18 17:13:50,53.62933130,10.00013185,3,54.341,,1.370,236,21,32,,
T,2019-12-18 17:13:51,53.62932524,10.00011170,3,54.096,,1.550,238,20,32,,
T,2019-12-18 17:13:52,53.62931785,10.00009335,3,53.483,,1.180,242,21,32,,
T,2019-12-18 17:13:53,53.62931197,10.00007920,3,52.873,,0.970,241,21,32,,
T,2019-12-18 17:13:54,53.62930717,10.00006591,3,52.505,,0.850,244,21,32,,
T,2019-12-18 17:13:55,53.62930370,10.00005535,3,52.248,,0.630,244,21,32,,
T,2019-12-18 17:13:56,53.62930017,10.00004650,3,52.273,,0.470,244,21,32,,
T,2019-12-18 17:13:57,53.62929566,10.00004318,3,52.655,,0.000,,21,32,,
T,2019-12-18 17:13:58,53.62929314,10.00004239,3,52.594,,0.000,,21,32,,
T,2019-12-18 17:13:59,53.62929163,10.00004377,3,52.552,,0.000,,21,32,,
T,2019-12-18 17:14:00,53.62929038,10.00004273,3,52.491,,0.000,,21,32,,
T,2019-12-18 17:14:01,53.62928932,10.00004270,3,52.361,,0.000,,21,32,,
T,2019-12-18 17:14:02,53.62928839,10.00004327,3,52.377,,0.000,,21,32,,
T,2019-12-18 17:14:03,53.62928799,10.00004292,3,52.439,,0.000,,21,32,,
T,2019-12-18 17:14:04,53.62928601,10.00004319,3,52.513,,0.000,,21,32,,
T,2019-12-18 17:14:05,53.62928504,10.00004470,3,52.661,,0.000,,21,32,,
T,2019-12-18 17:14:06,53.62928424,10.00004593,3,52.876,,0.000,,21,32,,
T,2019-12-18 17:14:07,53.62928431,10.00004673,3,53.207,,0.000,,21,32,,
T,2019-12-18 17:14:08,53.62928423,10.00004740,3,53.269,,0.000,,20,32,,
T,2019-12-18 17:14:09,53.62928378,10.00004748,3,53.152,,0.000,,20,32,,
T,2019-12-18 17:14:10,53.62928391,10.00004758,3,53.250,,0.000,,20,32,,
T,2019-12-18 17:14:11,53.62928141,10.00004118,3,53.395,,0.520,244,20,32,,
T,2019-12-18 17:14:12,53.62927791,10.00002991,3,53.856,,0.650,244,20,32,,
T,2019-12-18 17:14:13,53.62927341,10.00001584,10,53.207,,0.830,245,20,32,,
T,2019-12-18 17:14:14,53.62926869,10.00000103,10,53.627,,0.770,245,21,32,,
T,2019-12-18 17:14:15,53.62926359,9.99998504,10,53.943,,1.050,245,21,32,,
T,2019-12-18 17:14:16,53.62925841,9.99996598,10,54.378,,1.280,245,21,32,,
T,2019-12-18 17:14:17,53.62925375,9.99994819,10,53.999,,1.050,245,20,32,,
T,2019-12-18 17:14:18,53.62924903,9.99993744,10,53.281,,0.820,245,20,32,,
T,2019-12-18 17:14:19,53.62923968,9.99991975,10,53.726,,1.920,237,20,32,,
T,2019-12-18 17:14:20,53.62922866,9.99989636,10,54.622,,1.900,236,18,32,,
T,2019-12-18 17:14:21,53.62921721,9.99987178,10,54.141,,2.000,237,18,32,,
T,2019-12-18 17:14:22,53.62920825,9.99984369,10,54.722,,1.900,241,18,32,,
T,2019-12-18 17:14:23,53.62919750,9.99982563,10,54.029,,1.230,239,18,32,,
T,2019-12-18 17:14:24,53.62918919,9.99980780,10,53.335,,1.400,239,20,32,,
T,2019-12-18 17:14:25,53.62918095,9.99978297,10,54.917,,1.700,243,21,32,,
T,2019-12-18 17:14:26,53.62917351,9.99975600,10,56.223,,1.800,241,21,32,,
T,2019-12-18 17:14:27,53.62916770,9.99972920,10,56.776,,1.810,245,21,32,,
T,2019-12-18 17:14:28,53.62916113,9.99970257,10,56.653,,1.820,245,21,32,,
T,2019-12-18 17:14:29,53.62915603,9.99967886,10,56.092,,1.310,249,21,32,,
T,2019-12-18 17:14:30,53.62915242,9.99966106,10,55.932,,1.190,248,21,32,,
T,2019-12-18 17:14:31,53.62914955,9.99964512,10,55.626,,1.090,246,20,32,,
T,2019-12-18 17:14:32,53.62914531,9.99962813,10,55.244,,1.230,241,20,32,,
T,2019-12-18 17:14:33,53.62913428,9.99961563,10,55.927,,2.160,246,20,32,,
T,2019-12-18 17:14:34,53.62912332,9.99960320,10,55.385,,1.380,246,20,32,,
T,2019-12-18 17:14:35,53.62911731,9.99959245,10,55.844,,1.150,211,20,32,,
T,2019-12-18 17:14:36,53.62911471,9.99958056,10,55.970,,0.960,246,20,32,,
T,2019-12-18 17:14:37,53.62911603,9.99956666,10,56.122,,1.020,246,20,32,,
T,2019-12-18 17:14:38,53.62911315,9.99954641,10,55.523,,1.980,247,20,32,,
T,2019-12-18 17:14:39,53.62910798,9.99952432,10,55.760,,1.330,242,19,32,,
